name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
Symbol,0.031571036,924763.1807,6658208.882,22267575.17,2023-04-26T16:28:00.000Z,251557669.2
JOE,0.519516079,24765242.66,178355521.8,729356983.1,2023-04-26T16:28:00.000Z,241353223.9
Liquity,1.845825041,31833614.26,245091492,856989046.5,2023-04-26T16:28:00.000Z,184582504.1
SafePal,0.457599775,7516781.066,53170166.08,195721407.9,2023-04-26T16:28:00.000Z,228799887.3
Bitgert,4.17E-07,7065528.643,46593009.87,211346522.6,2023-04-26T16:28:00.000Z,417459747.3
Livepeer,5.933284169,5331162.335,36939147.91,137243482.9,2023-04-26T16:28:00.000Z,164623962.4
Nervos Network,0.004006714,5721376.661,38330528.65,150419796,2023-04-26T16:28:00.000Z,164513559.5
Tribe,0.30680591,899225.113,5743550.999,23732284.75,2023-04-26T16:28:00.000Z,306805909.8
DigiByte,0.009766502,3875364.772,26108984.08,111306369,2023-04-26T16:28:00.000Z,158063865.8
Dogelon Mars,2.86E-07,2836700.091,18583192.71,82452721.25,2023-04-26T16:28:00.000Z,285685818.1
Core,1.535447115,38479046.85,194932747.2,645085353.8,2023-04-26T16:28:00.000Z,3224438941
OMG Network,1.108910604,76920390.19,577582632.8,1942780370,2023-04-26T16:28:00.000Z,155519609.3
Storj,0.37098146,6640239.894,46130063.68,155422024,2023-04-26T16:28:00.000Z,157667119.7
Amp,0.003623648,9334934.66,61297469.63,243689233.5,2023-04-26T16:28:00.000Z,359514480.5
Keep Network,0.161212243,425855.1462,3020640.802,13023957.52,2023-04-26T16:28:00.000Z,161187865.1
OriginTrail,0.383926457,1600937.231,11436954.38,47267941.04,2023-04-26T16:28:00.000Z,191963228.6
Multichain,9.952644714,3341232.388,25166266.1,97104870.39,2023-04-26T16:28:00.000Z,995264471.4
Illuvium,54.47501581,10064611.68,63657379.89,264033046,2023-04-26T16:28:00.000Z,417403162.7
Stargate Finance,0.801320839,27695750.88,185934736.5,629368528.8,2023-04-26T16:28:00.000Z,801320839.3
Cocos-BCX,1.969310702,163091519.9,1201769368,4716860421,2023-04-26T16:28:00.000Z,139922967.8
Horizen,10.23431239,7996991.591,56539131.51,249490684.8,2023-04-26T16:28:00.000Z,139396132.1
UMA,1.960319525,6180857.876,42720722.62,133970078.4,2023-04-26T16:28:00.000Z,222289455.4
ABBC Coin,0.103832854,21566407.72,158690919.2,608716461.7,2023-04-26T16:28:00.000Z,155749280.5
Aragon,3.369682942,13617570.33,99568342.91,295794458.7,2023-04-26T16:28:00.000Z,151955761.3
iExec RLC,1.64032066,4762233.857,34543611.63,135885842.7,2023-04-26T16:28:00.000Z,142707544.7
Secret,0.646112117,2199247.683,15767502.43,61151473.51,2023-04-26T16:28:00.000Z,164675887.6
Lisk,1.000706409,2798810.059,20639566.34,79430772.57,2023-04-26T16:28:00.000Z,144921074.3
API3,1.5925339,4751829.458,36346841.96,125411329.4,2023-04-26T16:28:00.000Z,114261977.5
MetisDAO,28.42476,5141537.892,34248224.67,139531691.9,2023-04-26T16:28:00.000Z,153777966.1
Lido Staked ETH,1946.085245,15805086.82,109556351.7,609712615.2,2023-04-26T16:28:00.000Z,11995845578
HEX,0.060007484,10149784.07,76142034.73,236344600.7,2023-04-26T16:28:00.000Z,38017300824
Wrapped TRON,0.066449079,802423.7303,5752620.494,26319624.91,2023-04-26T16:28:00.000Z,6756281744
Bitcoin BEP2,29750.0683,34433033.54,261758636.7,1079935565,2023-04-26T16:28:00.000Z,1799908882
Radix,0.110198236,17370124.09,124176104.4,462219252.5,2023-04-26T16:28:00.000Z,1336001596
Frax,1.000722186,27315324.79,199597082.8,648432010.7,2023-04-26T16:28:00.000Z,1045607712
Wrapped BNB,342.294613,164380902.8,1266036940,5168056941,2023-04-26T16:28:00.000Z,819510379.1
